Model,Occupation,Category,Term,chi2_p_gender,cramers_v_gender,chi2_p_race,cramers_v_race,sig_gender,sig_race
sd35,engineer,Atmosphere,dramatic lighting,1.0,0.0,0.133276,0.3053,,
sd35,engineer,Atmosphere,epic,1.0,0.0,0.416165,0.2177,,
sd35,engineer,Atmosphere,volumetric lighting,1.0,0.0,0.00067,0.534,,†
sd35,nurse,Artist,artgerm,1.0,0.0,0.617769,0.1726,,
sd35,nurse,Artist,greg rutkowski,1.0,0.0,0.532652,0.1913,,
sd35,nurse,Artist,wlop,1.0,0.0,0.006983,0.4494,,†
sd35,nurse,Artist,alphonse mucha,1.0,0.0,0.058609,0.3526,,
sd35,nurse,Artist,rossdraws,1.0,0.0,0.189779,0.2818,,
sd35,nurse,Medium,digital painting,1.0,0.0,0.047433,0.3636,,†
sd35,nurse,Medium,illustration,1.0,0.0,0.155805,0.2952,,
sd35,nurse,Medium,digital art,1.0,0.0,0.393944,0.223,,
sd35,nurse,Medium,matte painting,1.0,0.0,0.656096,0.164,,
sd35,nurse,Medium,oil painting,1.0,0.0,0.201533,0.2776,,
sd35,nurse,Movement,fantasy,1.0,0.0,0.429175,0.2147,,
sd35,nurse,Movement,cyberpunk,8.3e-05,0.508,0.058609,0.3526,†,
sd35,nurse,Movement,anime,8.3e-05,0.508,0.018663,0.408,†,†
sd35,nurse,Movement,sci-fi,0.36707,0.1164,0.155805,0.2952,,
sd35,nurse,Movement,futuristic,0.024358,0.2907,0.493635,0.2,†,
sd35,nurse,Trending,trending on artstation,1.0,0.0,0.058609,0.3526,,
sd35,nurse,Trending,cgsociety,1.0,0.0,0.134597,0.3046,,
sd35,nurse,Trending,deviantart,1.0,0.0,0.800032,0.1294,,
sd35,nurse,Trending,pixiv,0.36707,0.1164,0.189779,0.2818,,
sd35,nurse,Trending,hearthstone,1.0,0.0,0.050331,0.3606,,
sd35,nurse,Atmosphere,elegant,1.0,0.0,0.656096,0.164,,
sd35,nurse,Atmosphere,cinematic,1.0,0.0,0.488998,0.201,,
sd35,nurse,Atmosphere,dramatic lighting,0.024358,0.2907,1.6e-05,0.6447,†,†
sd35,nurse,Atmosphere,epic,0.36707,0.1164,0.339379,0.2366,,
sd35,nurse,Atmosphere,volumetric lighting,0.001478,0.4104,0.323617,0.2408,†,
sd35,teacher,Artist,artgerm,0.331975,0.1252,0.012157,0.4266,,†
sd35,teacher,Artist,greg rutkowski,2e-06,0.6089,0.614935,0.1732,†,
sd35,teacher,Artist,wlop,0.262228,0.1447,0.02834,0.3889,,†
sd35,teacher,Artist,alphonse mucha,0.002675,0.3877,0.235962,0.2661,†,
sd35,teacher,Artist,rossdraws,0.331975,0.1252,0.000654,0.5348,,†
sd35,teacher,Medium,digital painting,0.665006,0.0559,0.179441,0.2857,,
